epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,15509.2,0.37757,0.60235,1.03619,0.74394,0.78947,0.70609,0.55816,1.26315,2.01958,2.10783,0.000416,0.000416,0.000416
82,15644.3,0.35059,0.54521,1.02231,0.7425,0.78947,0.69726,0.5599,1.15977,1.90809,2.03498,0.0003962,0.0003962,0.0003962
83,15779.1,0.40064,0.53051,1.06863,0.75997,0.68421,0.69347,0.56322,1.1011,1.74081,1.99175,0.0003764,0.0003764,0.0003764
84,15913.7,0.38641,0.60682,1.05634,0.66627,0.78947,0.70799,0.57471,1.07912,1.65927,1.9705,0.0003566,0.0003566,0.0003566
85,16048.5,0.39713,0.57442,1.03533,0.74554,0.78947,0.72579,0.59621,0.99637,1.56945,1.88004,0.0003368,0.0003368,0.0003368
86,16183.5,0.37727,0.53866,1.02525,0.82292,0.73684,0.72475,0.59331,0.9823,1.55873,1.86754,0.000317,0.000317,0.000317
87,16318.5,0.33774,0.54862,0.9801,0.8316,0.78019,0.72473,0.59551,0.99893,1.62016,1.8893,0.0002972,0.0002972,0.0002972
88,16453.7,0.36261,0.56469,1.03452,0.83251,0.78506,0.72459,0.60168,0.99725,1.60973,1.89165,0.0002774,0.0002774,0.0002774
89,16589.2,0.34959,0.53117,1.0219,0.83288,0.78706,0.71046,0.58701,1.00604,1.56911,1.88827,0.0002576,0.0002576,0.0002576
90,16724.2,0.31256,0.52896,1.02367,0.83259,0.78551,0.71667,0.58756,1.03603,1.54095,1.88896,0.0002378,0.0002378,0.0002378
91,16858.9,0.42261,0.91434,1.14908,0.76839,0.73684,0.70947,0.57717,1.04994,1.54986,1.91467,0.000218,0.000218,0.000218
92,16992.2,0.43536,0.71089,1.09844,0.75721,0.68421,0.6885,0.55288,1.04836,1.61326,1.90913,0.0001982,0.0001982,0.0001982
93,20009.3,0.3489,0.71712,1.04658,0.71335,0.68421,0.65723,0.53898,1.07623,1.7054,1.90943,0.0001784,0.0001784,0.0001784
94,20143.7,0.30059,0.51128,1.02109,0.75502,0.68421,0.66266,0.54432,1.05611,1.69973,1.90281,0.0001586,0.0001586,0.0001586
95,20283.2,0.3167,0.61064,1.03013,0.7613,0.68421,0.67338,0.55608,1.02582,1.73015,1.90952,0.0001388,0.0001388,0.0001388
96,20406.8,0.31927,0.63571,1.04447,0.77413,0.72217,0.68946,0.56989,1.00171,1.7354,1.89996,0.000119,0.000119,0.000119
97,20514.2,0.31912,0.51437,1.00742,0.80652,0.73684,0.70369,0.56027,0.99873,1.73826,1.91233,9.92e-05,9.92e-05,9.92e-05
98,20621.7,0.32728,0.48388,1.04518,0.79822,0.73684,0.70469,0.5577,0.99167,1.74414,1.90712,7.94e-05,7.94e-05,7.94e-05
99,20729.1,0.32916,0.51801,1.05724,0.77051,0.73684,0.70434,0.54691,0.94788,1.74325,1.8631,5.96e-05,5.96e-05,5.96e-05
100,20836.8,0.28395,0.4628,0.9985,0.76973,0.73684,0.70164,0.55235,0.94388,1.73915,1.84593,3.98e-05,3.98e-05,3.98e-05
